Bayswater Vline Station;Bayswater;Mountain Hwy / Station St, Bayswater 3153;-37.841728,145.268137
Patterson Vline Station;Bentleigh;Patterson Rd / North Ave, Bentleigh 3204;-37.925146,145.035468
Bentleigh Vline Station;Bentleigh;Centre Rd / Nicholson St, Bentleigh 3204;-37.917427,145.036991
Nunawading Vline Station;Nunawading;Springvale Rd / Oval Way, Nunawading 3131;-37.820599,145.174890
Eaglemont Vline Station;Eaglemont;Silverdale Rd, Eaglemont 3084;-37.763586,145.053946
Laburnum Vline Station;Blackburn;Laburnum St / Thiele Ct, Blackburn 3130;-37.820777,145.140705
Blackburn Vline Station;Blackburn;Station St / Vline Rd, Blackburn 3130;-37.820069,145.150014
Darling Vline Station;Malvern East;Wynyeh St / Clynden Ave, Malvern East 3145;-37.868956,145.062946
East Malvern Vline Station;Malvern East;Monash Fwy, Malvern East 3145;-37.876930,145.069397
Holmesglen Vline Station;Malvern East;Warrigal Rd, Malvern East 3145;-37.874401,145.090657
Broadmeadows Vline Station;Broadmeadows;Johnstone St / Pascoe Vale Rd, Broadmeadows 3047;-37.683051,144.919615
Mentone Vline Station;Mentone;Balcombe Rd / Como Pde, Mentone 3194;-37.981865,145.065171
Mordialloc Vline Station;Mordialloc;Bear St / Albert St, Mordialloc 3195;-38.006587,145.087656
Kananook Vline Station;Seaford;McCulloch Ave / Wells Rd, Seaford 3198;-38.121740,145.135291
Seaford Vline Station;Seaford;Station St / Vline Pde, Seaford 3198;-38.104017,145.128228
Ormond Vline Station;Ormond;North Rd / Katandra Rd, Ormond 3204;-37.903211,145.039608
Merinda Park Vline Station;Cranbourne North;Thompsons Rd, Cranbourne North 3977;-38.079003,145.263507
Tyabb Vline Station;Tyabb;Mornington-Tyabb Rd / Vline Rd, Tyabb 3913;-38.259817,145.186402
Baxter Vline Station;Baxter;Baxter-Tooradin Rd / Station Cres, Baxter 3911;-38.194047,145.160525
Dandenong Vline Station;Dandenong;Foster St, Dandenong 3175;-37.989968,145.209728
Ruthven Vline Station;Reservoir;Broadhurst Ave / High St, Reservoir 3073;-37.707899,145.009514
Reservoir Vline Station;Reservoir;Broadway  / High St, Reservoir 3073;-37.716889,145.006993
Regent Vline Station;Reservoir;Henry St / Robinson Rd, Reservoir 3073;-37.728400,145.002771
Somerville Vline Station;Somerville;Eramosa Rd / Station St, Somerville 3912;-38.225341,145.176246
Alphington Vline Station;Alphington;Miller St / Rowe St, Alphington 3078;-37.778396,145.031251
Epping Vline Station;Epping;Davisson St / Cooper St, Epping 3076;-37.652388,145.030118
Jolimont-MCG Vline Station;East Melbourne;Wellington Cres, East Melbourne 3002;-37.816530,144.984096
Moonee Ponds Vline Station;Moonee Ponds;Holmes Rd / Norwood Cres, Moonee Ponds 3039;-37.765704,144.919158
Fawkner Vline Station;Fawkner;Sydney Rd, Fawkner 3060;-37.714622,144.960549
Ripponlea Vline Station;Ripponlea;Glen Eira Rd / Morres St, Ripponlea 3185;-37.875908,144.995234
Watsonia Vline Station;Watsonia;Greensborough Rd, Watsonia 3087;-37.710954,145.083795
Upwey Vline Station;Upwey;Darling Ave / Burwood Hwy, Upwey 3158;-37.903692,145.331335
South Morang Vline Station;South Morang;McDonalds Rd, South Morang 3752;-37.649161,145.067038
Westona Vline Station;Altona;Maidstone St / Harrington St, Altona 3018;-37.865165,144.813489
Altona Vline Station;Altona;Pier St / Vline St, Altona 3018;-37.867151,144.829647
Huntingdale Vline Station;Oakleigh;Huntingdale Rd / Haughton Rd, Oakleigh 3166;-37.911017,145.102364
Oakleigh Vline Station;Oakleigh;Warrigal Rd / Haughton Rd, Oakleigh 3166;-37.900368,145.088313
Fairfield Vline Station;Fairfield;Gillies St / Vline Pl, Fairfield 3078;-37.779174,145.016903
East Richmond Vline Station;Richmond;Church St / Adolph St, Richmond 3121;-37.826403,144.997068
Richmond Vline Station;Richmond;Punt Rd / Swan St, Richmond 3121;-37.824072,144.990161
North Richmond Vline Station;Richmond;Victoria St / Regent St, Richmond 3121;-37.810396,144.992500
West Richmond Vline Station;Richmond;Freeman St / Muir St, Richmond 3121;-37.814945,144.991418
Murrumbeena Vline Station;Murrumbeena;Murrumbeena Rd / Vline Pde, Murrumbeena 3163;-37.890196,145.067378
Edithvale Vline Station;Edithvale;Sinclair Ave / Nepean Hwy, Edithvale 3196;-38.038054,145.108539
Tottenham Vline Station;West Footscray;Ashley St / Sunshine Rd, West Footscray 3012;-37.799255,144.862948
West Footscray Vline Station;West Footscray;Geelong Rd / Sunshine Rd, West Footscray 3012;-37.801812,144.885327
Heathmont Vline Station;Heathmont;Heathmont Rd / Canterbury Rd, Heathmont 3135;-37.828318,145.244553
Flagstaff Vline Station;Melbourne City;William St / La Trobe St, Melbourne City 3000;-37.811978,144.955653
Melbourne Central Vline Station;Melbourne City;La Trobe St, Melbourne City 3000;-37.809936,144.962599
Parliament Vline Station;Melbourne City;Spring St, Melbourne City 3000;-37.811055,144.972907
Flinders Street Vline Station;Melbourne City;Swanston St / Flinders St, Melbourne City 3000;-37.818308,144.966967
Southern Cross Vline Station;Melbourne City;Collins St / Spencer St, Melbourne City 3000;-37.817933,144.951409
Lilydale Vline Station;Lilydale;Maroondah Hwy, Lilydale 3140;-37.755516,145.347712
Bittern Vline Station;Bittern;Peddle St / Frankston-Flinders Rd, Bittern 3918;-38.337390,145.178026
Seaholme Vline Station;Seaholme;High St / Station St, Seaholme 3018;-37.867843,144.840957
Armadale Vline Station;Armadale;High St / Cheel St, Armadale 3143;-37.856452,145.019328
Toorak Vline Station;Armadale;Rose St / Beatty Ave, Armadale 3143;-37.850770,145.013907
Parkdale Vline Station;Parkdale;Stewart Ave / Como Pde, Parkdale 3195;-37.993077,145.076330
Sandown Park Vline Station;Springvale;Lightwood Rd, Springvale 3171;-37.956501,145.162823
Springvale Vline Station;Springvale;Springvale Rd / Lightwood Rd, Springvale 3171;-37.949512,145.153451
Brighton Beach Vline Station;Brighton;Menzies Ave / Station Walk, Brighton 3186;-37.926482,144.989157
Middle Brighton Vline Station;Brighton;Black St / Vline Ave, Brighton 3186;-37.915135,144.996298
North Brighton Vline Station;Brighton;Bay St / Warleigh Gr, Brighton 3186;-37.904883,145.002604
Gardenvale Vline Station;Brighton;Martin St / Spink St, Brighton 3186;-37.896693,145.004165
Jordanville Vline Station;Mount Waverley;Hillview Ave / Windsor Ave, Mount Waverley 3149;-37.873599,145.112089
Mount Waverley Vline Station;Mount Waverley;Stephensons Rd / Miller Cres, Mount Waverley 3149;-37.875251,145.128057
Middle Footscray Vline Station;Footscray;Victoria St / Buckley St, Footscray 3011;-37.802501,144.891474
Footscray Vline Station;Footscray;Hopkins St / Irving St, Footscray 3011;-37.801085,144.903194
Caulfield Vline Station;Caulfield East;Station St / Normanby Ave, Caulfield East 3145;-37.877457,145.042522
Box Hill Vline Station;Box Hill;Station St / Bank St, Box Hill 3128;-37.819219,145.121427
Canterbury Vline Station;Canterbury;Canterbury Rd, Canterbury 3126;-37.824489,145.081226
Macleod Vline Station;Macleod;Birdwood Ave, Macleod 3085;-37.726010,145.069147
Narre Warren Vline Station;Narre Warren;Webb St, Narre Warren 3805;-38.027809,145.303967
Upfield Vline Station;Coolaroo;Barry Rd / Dunstan Pde, Coolaroo 3048;-37.666076,144.946745
Coolaroo Vline Station;Coolaroo;Kalimna Cres, Coolaroo 3048;-37.661001,144.926053
Hastings Vline Station;Hastings;Church St / Station St, Hastings 3915;-38.305660,145.185979
Cheltenham Vline Station;Cheltenham;Charman Rd / Vline Rd, Cheltenham 3192;-37.966653,145.054557
Thomastown Vline Station;Thomastown;Main St / High St, Thomastown 3074;-37.680335,145.014284
