McNamara Ave/Fullarton Rd;Airport West;McNamara Ave / Fullarton Rd, Airport West 3042;-37.731849,144.880220
Moorna Dr/Fullarton Rd;Airport West;Moorna Dr / Fullarton Rd, Airport West 3042;-37.728770,144.868848
Gum Rd/Main Rd West;Albanvale;Gum Rd / Main Rd West , Albanvale 3021;-37.741493,144.775901
Concord Cct/Oakwood Rd;Albanvale;Concord Cct / Oakwood Rd, Albanvale 3021;-37.750890,144.768556
Woodland Dr/Oakwood Rd;Albanvale;Woodland Dr / Oakwood Rd, Albanvale 3021;-37.746044,144.769918
Evergreen Ave/Oakwood Rd;Albanvale;Evergreen Ave / Oakwood Rd, Albanvale 3021;-37.744210,144.770191
Leckie Dr/Evergreen Ave;Albanvale;Leckie Dr / Evergreen Ave, Albanvale 3021;-37.743760,144.768327
Delamare Dr/Evergreen Ave;Albanvale;Delamare Dr / Evergreen Ave, Albanvale 3021;-37.743550,144.765426
Wintersun Dr/Evergreen Ave;Albanvale;Wintersun Dr / Evergreen Ave, Albanvale 3021;-37.744980,144.763291
Stephen Calleja Reserve/157 Opie Rd;Albanvale;Opie Rd, Albanvale 3021;-37.743752,144.761816
187 Opie Rd;Albanvale;Opie Rd, Albanvale 3021;-37.741831,144.763037
630 Main Rd West;Albanvale;Main Rd West , Albanvale 3021;-37.740302,144.765066
Balnarring Dr/Main Rd West;Albanvale;Balnarring Dr / Main Rd West , Albanvale 3021;-37.740478,144.766669
Kardinia Dr/Oakwood Rd;Albanvale;Kardinia Dr / Oakwood Rd, Albanvale 3021;-37.744509,144.770332
98 Opie Rd;Albanvale;Opie Rd, Albanvale 3021;-37.744046,144.761715
134 Opie Rd;Albanvale;Opie Rd, Albanvale 3021;-37.741890,144.763160
401 Main Rd West;Albanvale;Main Rd West , Albanvale 3021;-37.740422,144.764942
Entally Dr/Main Rd West;Albanvale;Entally Dr / Main Rd West , Albanvale 3021;-37.740611,144.766672
Balnarring Dr/Kinterbury Dr;Albanvale;Balnarring Dr / Kinterbury Dr, Albanvale 3021;-37.737107,144.767234
