Croxton;Northcote;Beaconsfield Pde / Stott St, Northcote 3070;-37.764098,144.997057
Northcote;Northcote;Turnbull Gr / Herbert St, Northcote 3070;-37.769865,144.995282
Merri;Northcote;Bridge St / Railway St, Northcote 3070;-37.777843,144.992976
Nunawading;Nunawading;Springvale Rd / Oval Way, Nunawading 3131;-37.820599,145.174890
Oak Park;Oak Park;Snell Gr / Waterloo Rd, Oak Park 3046;-37.717949,144.921515
Huntingdale;Oakleigh;Huntingdale Rd / Haughton Rd, Oakleigh 3166;-37.911017,145.102364
Oakleigh;Oakleigh;Warrigal Rd / Haughton Rd, Oakleigh 3166;-37.900368,145.088313
Officer;Officer;Station St, Officer 3809;-38.066142,145.410992
Ormond;Ormond;North Rd / Katandra Rd, Ormond 3204;-37.903211,145.039608
Pakenham;Pakenham;Henry Rd / Railway Ave, Pakenham 3810;-38.080612,145.486374
Cardinia Road;Pakenham;Cardinia Rd / Village Way, Pakenham 3810;-38.071288,145.437794
Parkdale;Parkdale;Stewart Ave / Como Pde, Parkdale 3195;-37.993077,145.076330
Royal Park;Parkville;Poplar Rd, Parkville 3052;-37.781192,144.952299
Pascoe Vale;Pascoe Vale;Gaffney St / Burgundy St, Pascoe Vale 3044;-37.730754,144.928194
Prahran;Prahran;Greville St / Porter St, Prahran 3181;-37.849516,144.989860
Preston;Preston;Murray Rd / St Georges Rd, Preston 3072;-37.738674,145.000527
Bell;Preston;Bell St / Garnet St, Preston 3072;-37.745566,145.000152
Ruthven;Reservoir;Broadhurst Ave / High St, Reservoir 3073;-37.707899,145.009514
Reservoir;Reservoir;Broadway  / High St, Reservoir 3073;-37.716889,145.006993
Regent;Reservoir;Henry St / Robinson Rd, Reservoir 3073;-37.728400,145.002771
East Richmond;Richmond;Church St / Adolph St, Richmond 3121;-37.826403,144.997068
Richmond;Richmond;Punt Rd / Swan St, Richmond 3121;-37.824072,144.990161
North Richmond;Richmond;Victoria St / Regent St, Richmond 3121;-37.810396,144.992500
West Richmond;Richmond;Freeman St / Muir St, Richmond 3121;-37.814945,144.991418
Ringwood;Ringwood;Wantirna Rd / Station St, Ringwood 3134;-37.815890,145.228970
Ringwood East;Ringwood East;Stanley Ave / Railway Ave, Ringwood East 3135;-37.811968,145.250193
Ripponlea;Ripponlea;Glen Eira Rd / Morres St, Ripponlea 3185;-37.875908,144.995234
Rosanna;Rosanna;Douglas St / Station Rd, Rosanna 3084;-37.742875,145.066140
Roxburgh Park;Roxburgh Park;Brunton Pde, Roxburgh Park 3064;-37.638233,144.935407
Sandringham;Sandringham;Waltham St / Station St, Sandringham 3191;-37.950328,145.004566
Kananook;Seaford;McCulloch Ave / Wells Rd, Seaford 3198;-38.121740,145.135291
Seaford;Seaford;Station St / Railway Pde, Seaford 3198;-38.104017,145.128228
Seaholme;Seaholme;High St / Station St, Seaholme 3018;-37.867843,144.840957
Seddon;Seddon;Bellairs Ave, Seddon 3011;-37.809001,144.895668
Somerville;Somerville;Eramosa Rd / Station St, Somerville 3912;-38.225341,145.176246
South Morang;South Morang;McDonalds Rd, South Morang 3752;-37.649161,145.067038
Hawksburn;South Yarra;Barnsbury Rd / Luxton Rd, South Yarra 3141;-37.844594,145.002137
South Yarra;South Yarra;Toorak Rd / Yarra St, South Yarra 3141;-37.838445,144.992341
Spotswood;Spotswood;Hope St, Spotswood 3015;-37.830635,144.885935
Sandown Park;Springvale;Lightwood Rd, Springvale 3171;-37.956501,145.162823
Springvale;Springvale;Springvale Rd / Lightwood Rd, Springvale 3171;-37.949512,145.153451
Keilor Plains;St Albans;Power St / East Esplanade , St Albans 3021;-37.729276,144.793733
St Albans;St Albans;Main Rd / St Albans Rd, St Albans 3021;-37.744859,144.800055
Ginifer;St Albans;St Albans Rd, St Albans 3021;-37.757509,144.809571
Sunbury;Sunbury;Brook St, Sunbury 3429;-37.579092,144.727320
Sunshine;Sunshine;Hampshire Rd / Station Pl, Sunshine 3020;-37.788535,144.832880
Albion;Sunshine North;St Albans Rd, Sunshine North 3020;-37.777655,144.824709
Chatham;Surrey Hills;Junction Rd / Stanley Tce, Surrey Hills 3127;-37.824304,145.088653
Surrey Hills;Surrey Hills;Union Rd / Bedford Ave, Surrey Hills 3127;-37.824144,145.098778
Watergardens;Sydenham;Sydenham Rd, Sydenham 3037;-37.701128,144.774186
Tecoma;Tecoma;Campbell St, Tecoma 3160;-37.908116,145.342999
Thomastown;Thomastown;Main St / High St, Thomastown 3074;-37.680335,145.014284
Keon Park;Thomastown;Keon Pde / High St, Thomastown 3074;-37.694867,145.011883
Thornbury;Thornbury;Hutton St / Ethel St, Thornbury 3071;-37.755048,144.998576
Heyington;Toorak;Gawith Ct / Heyington Pl, Toorak 3142;-37.834670,145.022633
Tyabb;Tyabb;Mornington-Tyabb Rd / Railway Rd, Tyabb 3913;-38.259817,145.186402
Upper Ferntree Gully;Upper Ferntree Gully;Railway Ave / Burwood Hwy, Upper Ferntree Gully 3156;-37.892673,145.307525
Upwey;Upwey;Darling Ave / Burwood Hwy, Upwey 3158;-37.903692,145.331335
Watsonia;Watsonia;Greensborough Rd, Watsonia 3087;-37.710954,145.083795
Wattle Glen;Wattle Glen;Heidelberg-Kinglake Rd, Wattle Glen 3096;-37.663966,145.181619
Werribee;Werribee;Manly St, Werribee 3030;-37.899382,144.661116
Tottenham;West Footscray;Ashley St / Sunshine Rd, West Footscray 3012;-37.799255,144.862948
West Footscray;West Footscray;Geelong Rd / Sunshine Rd, West Footscray 3012;-37.801812,144.885327
North Melbourne;West Melbourne;Dynon Rd / Railway Pl, West Melbourne 3003;-37.806309,144.941509
Williams Landing;Williams Landing;, Williams Landing 3027;-37.869868,144.747446
Williamstown;Williamstown;Morris St / Railway Cres, Williamstown 3016;-37.867754,144.905324
Williamstown Beach;Williamstown;Forster St / Railway Cres, Williamstown 3016;-37.863982,144.894487
North Williamstown;Williamstown;Ferguson St / Power St, Williamstown 3016;-37.857330,144.889067
Windsor;Windsor;Chapel St / Peel St, Windsor 3181;-37.856051,144.992033
Yarraville;Yarraville;Murray St / Birmingham St, Yarraville 3013;-37.815849,144.889934
